A0A202G9F1,P42800,Q6FQI1
A0A202G3Z9,A0A1D8PCP7,Q6FTN5
A0A202GDF1,Q59MV9,Q6FL28
A0A202G868,A0A1D8PKW5,Q6FW60
A0A202G9I0,A0A1D8PU58,Q6FRP1
A0A202G1P1,Q5A744,Q6FMN0
A0A202GCM8,A0A1D8PJA6,NA
A0A202GA41,A0A1D8PJ73,NA
A0A202G2C6,A0A1D8PP59,Q6FUC4
A0A202G861,Q5AJY2,Q6FXQ1
A0A202G6W5,P56553,Q6FRB0
A0A202GEV1,A0A1D8PKV4,Q6FXW6
A0A202GB59,A0A1D8PNP4,NA
A0A202G2H7,A0A1D8PND4,NA
A0A202GBC2,P83782,Q6FSJ3
A0A202GA31,A0A1D8PQQ3,Q6FUB0
A0A202G9U7,A0A1D8PK98,Q6FN97
A0A202G4R5,A0A1D8PKC5,Q6FJF1
A0A202G7S4,A0A1D8PUB4,Q6FWH2
A0A202G218,A0A1D8PGD2,Q6FLP3
A0A202GAP9,Q59L25,Q6FJ45
A0A202G8V9,Q5A368,Q6FKJ1
A0A202GBP8,A0A1D8PPZ6,Q6FJP4
A0A202GD65,A0A1D8PM53,Q6FXE4
A0A202G1M7,Q59T42,Q6FQI0
A0A202GDV8,A0A1D8PU69,Q6FVN1
A0A202G8Z8,A0A1D8PNW6,Q6FMN6
A0A202G5V3,A0A1D8PRB0,Q6FNS6
A9XBI5,Q5A599,Q6FRR3
A0A202G849,Q59KZ3,Q6FKP3
A0A202G6F6,Q59SS4,Q6FPZ9
A0A202GDX6,Q5AG89,Q6FR39
A0A202G4B0,Q5ACV4,Q6FTU9
A0A202FWP3,Q59MN2,Q6FSK0
A0A202FW86,A0A1D8PNQ8,Q6FPF5
A0A202GEA5,A0A1D8PNE5,Q6FTJ9
A0A202G0Q9,Q5AK46,Q6FW05
A0A202GE80,A0A1D8PIL9,NA
A0A202GDE0,Q5AMG6,Q6FTH2
A0A202FY92,Q59PT7,Q6FJ60
A0A202FYK2,A0A1D8PMF7,Q6FLB4
A0A202GDB6,Q5AAG6,Q6FPV9
A0A202G5J9,A0A1D8PNB3,Q6FT04
A0A202G7L0,Q5AJG7,NA
A0A202G7Z6,A0A1D8PE41,Q6FUD4
A0A202FU70,A0A1D8PDY7,Q6FNJ0
A0A202G343,Q5A7P7,Q6FSD5
A0A202GD00,A0A1D8PNY1,Q6FWL8
A0A202G7K0,Q5AHE9,Q6FJ26
A0A202FXQ8,A0A1D8PQX8,Q6FJY4
A0A202GDA2,Q5AI24,Q6FM09
A0A202G2H6,Q59PS2,Q6FNY6
A0A202G698,A0A1D8PNJ2,Q6FMD9
A0A202G5P0,Q04782,Q6FNL2
A0A202G8H2,A0A1D8PJ01,Q6FXU5
A0A202GEJ1,A0A1D8PCY4,Q6FV55
A0A202GE19,A0A1D8PDP3,Q6FQ47
A0A202FYR1,A0A1D8PSI7,Q6FTA9
A0A202G212,A0A1D8PIK6,Q6FJE2
A0A202G222,A0A1D8PIM4,Q6FIK1
A0A202FWP1,A0A1D8PMA4,Q6FNJ9
A0A202GB62,A0A1D8PIN1,Q6FXH5
A0A202G7N5,A0A1D8PRN8,Q6FXC9
A0A202GDM5,Q59QB9,Q6FN22
A0A202GAE0,Q5A9D9,Q6FTG9
A0A202G9B9,Q59Z25,Q6FS47
