Annot,1,2,3,N,geneID1,geneIDCommon,geneID2
Arrhythmogenic right ventricular cardiomyopathy (ARVC),9,9,10,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
B cell receptor signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Bile secretion,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Biosynthesis of amino acids,7,7,10,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q5A644:aconitase family protein similar to S. cerevisiae LYS4 (YDR234W) mitochondrial homoaconitase(LYS4)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
Biosynthesis of antibiotics,7,7,10,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q5A644:aconitase family protein similar to S. cerevisiae LYS4 (YDR234W) mitochondrial homoaconitase(LYS4)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
Bladder cancer,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Carbohydrate digestion and absorption,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Carbon metabolism,7,7,7,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
Cardiac muscle contraction,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Cell cycle,1,1,1,1666,Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Central carbon metabolism in cancer,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Chagas disease (American trypanosomiasis),2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Chemokine signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Choline metabolism in cancer,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Cholinergic synapse,3,3,4,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)
Chronic myeloid leukemia,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Colorectal cancer,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Dopaminergic synapse,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Endocrine and other factor-regulated calcium reabsorption,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
